UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 02:30 ?        00:00:01 /sbin/init
root           2       1  0 02:30 ?        00:00:00 /init
root           6       2  0 02:30 ?        00:00:00 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          55       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         105       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     111       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     127       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         179       1  0 02:30 ?        00:00:00 /usr/sbin/cron -f -P
message+     180       1  0 02:30 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         198       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         202       1  0 02:30 ?        00:00:00 /usr/libexec/wsl-pro-service -vv
root         217       1  0 02:30 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud - 115200,38400,9600 vt220
syslog       233       1  0 02:30 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         239       1  0 02:30 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         265       1  0 02:30 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         374       2  0 02:30 ?        00:00:00 /init
root         375     374  0 02:30 ?        00:00:00 /init
minsu77      376     375  0 02:30 pts/0    00:00:00 -bash
root         377       2  0 02:30 pts/1    00:00:00 /bin/login -f
minsu77      466       1  0 02:30 ?        00:00:00 /usr/lib/systemd/systemd --user
minsu77      467     466  0 02:30 ?        00:00:00 (sd-pam)
minsu77      478     377  0 02:30 pts/1    00:00:00 -bash
polkitd      753       1  0 02:40 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
minsu77     1112     376  0 03:02 pts/0    00:00:00 ps -ef
